iter	MultiClass
0	5.283361656
1	5.254026867
2	5.219295911
3	5.19009614
4	5.157199471
5	5.130035338
6	5.099806203
7	5.072929543
8	5.049880264
9	5.032212746
10	5.006579832
11	4.979606955
12	4.952412933
13	4.924159719
14	4.901759048
15	4.878407172
16	4.853654849
17	4.839945102
18	4.821210875
19	4.798847231
20	4.789385259
21	4.76531432
22	4.744445403
23	4.72312475
24	4.701448557
25	4.679295422
26	4.660799714
27	4.648442074
28	4.62793609
29	4.607958872
30	4.58567369
31	4.562725061
32	4.543685007
33	4.534908462
34	4.511047336
35	4.505504984
36	4.486780001
37	4.465758542
38	4.450768106
39	4.440067974
40	4.424902884
41	4.404038496
42	4.385056628
43	4.368430056
44	4.347248523
45	4.329547057
46	4.31631591
47	4.294951439
48	4.284021134
49	4.26302881
50	4.245045059
51	4.225312006
52	4.205190469
53	4.191401827
54	4.176097018
55	4.165909295
56	4.152352531
57	4.130183297
58	4.115049871
59	4.101754172
60	4.086705036
61	4.069202602
62	4.049163373
63	4.031993483
64	4.018477878
65	4.004767462
66	3.989489068
67	3.972252114
68	3.957029724
69	3.94532002
70	3.937938933
71	3.921093149
72	3.903260819
73	3.889001982
74	3.873987302
75	3.852337122
76	3.840591528
77	3.825263542
78	3.808795999
79	3.800545309
80	3.784273764
81	3.765893776
82	3.753872
83	3.739507406
84	3.724941386
85	3.705911183
86	3.692239126
87	3.675626365
88	3.662982568
89	3.650418674
90	3.634385504
91	3.625328306
92	3.620371732
93	3.606632902
94	3.58864122
95	3.569771332
96	3.557313412
97	3.542193689
98	3.529626536
99	3.517061555
100	3.511818479
101	3.501221388
102	3.487541426
103	3.47376402
104	3.461392467
105	3.449065126
106	3.439110079
107	3.42428815
108	3.414412684
109	3.402057095
110	3.385803949
111	3.373392154
112	3.36240132
113	3.353664724
114	3.337208763
115	3.320597332
116	3.307293178
117	3.294519047
118	3.285808945
119	3.272401853
120	3.257154101
121	3.247262442
122	3.22916017
123	3.214371173
124	3.196553002
125	3.19495106
126	3.191538138
127	3.181111996
128	3.170123148
129	3.166688783
130	3.152635886
131	3.141857549
132	3.13472508
133	3.120371899
134	3.111413071
135	3.103226122
136	3.100410877
137	3.08417511
138	3.066486597
139	3.057295118
140	3.043018523
141	3.03388902
142	3.032898786
143	3.021790796
144	3.010803331
145	3.002287228
146	2.995043184
147	2.985914314
148	2.970240675
149	2.956954921
150	2.949657989
151	2.936003007
152	2.920718159
153	2.910519978
154	2.9007253
155	2.894866861
156	2.881711311
157	2.873787626
158	2.863658577
159	2.863087729
160	2.850439582
161	2.839459605
162	2.835222173
163	2.828193077
164	2.822173797
165	2.809375761
166	2.804141821
167	2.79220282
168	2.787110448
169	2.774575235
170	2.764786604
171	2.752409765
172	2.74806797
173	2.733308909
174	2.732476814
175	2.721851294
176	2.708289667
177	2.695996973
178	2.694386326
179	2.685034241
180	2.676563712
181	2.666702896
182	2.655435704
183	2.640742935
184	2.632890417
