iter	Passed	Remaining
177	780751	3605491
178	784271	3597133
179	789856	3598234
180	795227	3598294
181	799041	3591294
182	803886	3588933
183	809443	3589706
184	813319	3583001
185	819695	3587268
186	823796	3581530
187	829256	3581683
188	835405	3584728
189	839556	3579163
190	843718	3573655
191	849306	3574165
192	854170	3571584
193	860903	3576742
194	864703	3569673
195	868510	3562664
196	873970	3562429
197	879827	3563747
198	884691	3560995
199	890115	3560460
200	895813	3560969
201	899645	3554046
202	906344	3558406
203	911962	3558443
204	917109	3556595
205	922061	3553966
206	927439	3552944
207	933873	3555903
208	937718	3548974
209	942073	3543990
210	946250	3538349
211	952271	3539576
212	956016	3532325
213	961615	3531914
214	968122	3534773
215	974231	3536099
216	979690	3535010
217	985430	3534891
218	990926	3533852
219	994804	3527033
220	999975	3524802
221	1005922	3525260
222	1012018	3526181
223	1017437	3524694
224	1023520	3525459
225	1028888	3523715
226	1033259	3518544
227	1037392	3512575
228	1041017	3504911
229	1044839	3497941
230	1048684	3491073
231	1052878	3485389
232	1056709	3478525
233	1060476	3471475
234	1064906	3466610
235	1070797	3466478
236	1074976	3460788
237	1079374	3455811
238	1083682	3450553
239	1087977	3445260
240	1094309	3446394
241	1097546	3437770
242	1101779	3432292
243	1106200	3427408
244	1109905	3420321
245	1113709	3413564
246	1117537	3406905
247	1123878	3407890
248	1128321	3403090
249	1132170	3396512
250	1137728	3395055
251	1143312	3393640
252	1147167	3387091
253	1150987	3380460
254	1155418	3375635
255	1159188	3368891
256	1165333	3369036
257	1171255	3368494
258	1175465	3363010
259	1179315	3356513
260	1183118	3349903
261	1186936	3343354
262	1191259	3338245
263	1195110	3331823
264	1199014	3325567
265	1203632	3321302
266	1207390	3314671
267	1212214	3310973
268	1216526	3305877
269	1222135	3304291
270	1225926	3297786
271	1230272	3292788
272	1234121	3286469
273	1237908	3280005
274	1241766	3273748
275	1245657	3267593
276	1249522	3261389
277	1253374	3255168
278	1259017	3253590
279	1263168	3248148
280	1269191	3247504
281	1273058	3241333
282	1278505	3239181
283	1284679	3238839
284	1288794	3233292
285	1292564	3226892
286	1297802	3224158
287	1303843	3223391
288	1308015	3217989
289	1311598	3211155
290	1315814	3205884
291	1320153	3200920
292	1325718	3198919
293	1331103	3196460
294	1335457	3191516
295	1341631	3190906
296	1346008	3186005
297	1350171	3180604
298	1354571	3175767
299	1358736	3170384
300	1363118	3165514
301	1367534	3160725
302	1373578	3159684
303	1377182	3153023
304	1383412	3152365
305	1390072	3152647
306	1394455	3147743
307	1400988	3147674
308	1404830	3141546
309	1409221	3136654
310	1413016	3130445
311	1416876	3124394
312	1422846	3122988
313	1427320	3118285
314	1431564	3113084
315	1435764	3107793
316	1440049	3102692
317	1446296	3101806
318	1450699	3096947
319	1457012	3096151
320	1462520	3093618
321	1466384	3087604
322	1470712	3082577
323	1476198	3079968
324	1479962	3073768
325	1483219	3066532
326	1486933	3060262
327	1492405	3057612
328	1496214	3051549
329	1499794	3045037
330	1506426	3044711
331	1510019	3038231
332	1510674	3025886
333	1515046	3021020
334	1518289	3013918
335	1522184	3008125
336	1527416	3004976
337	1533572	3003624
338	1540119	3003005
339	1544270	2997701
340	1549562	2994609
341	1554013	2989885
342	1557821	2983931
343	1561679	2978086
344	1565884	2972910
345	1570023	2967616
346	1573887	2961810
347	1578135	2956737
348	1582547	2951973
349	1586751	2946824
350	1591129	2942002
351	1596532	2939070
352	1600341	2933203
353	1606203	2931094
354	1610006	2925223
355	1613579	2918947
356	1617919	2914068
357	1621163	2907225
358	1624968	2901405
359	1629263	2896468
360	1633448	2891339
361	1637780	2886475
362	1643349	2883783
363	1648547	2880429
364	1653808	2877173
365	1658127	2872275
366	1662442	2867373
367	1665693	2860648
368	1671106	2857637
369	1676953	2855352
370	1683098	2853554
371	1688799	2850984
372	1692582	2845171
373	1696810	2840115
374	1702264	2837107
375	1707736	2834116
376	1710939	2827361
377	1715308	2822544
378	1719397	2817271
379	1723725	2812394
380	1729302	2809549
381	1735407	2807543
382	1739799	2802758
383	1743584	2797000
384	1748043	2792329
385	1751803	2786547
386	1755606	2780844
387	1761589	2778589
388	1765953	2773772
389	1769778	2768115
390	1775320	2765141
391	1781520	2763174
392	1787011	2760091
393	1792613	2757167
394	1796262	2751237
395	1800180	2745730
396	1804601	2740993
397	1808983	2736201
398	1814519	2733148
399	1818345	2727518
400	1824427	2725266
401	1831108	2723887
402	1834847	2718124
403	1838879	2712802
404	1843019	2707645
405	1847465	2702942
406	1851226	2697241
407	1855378	2692118
408	1859824	2687423
409	1865917	2685100
410	1870350	2680381
411	1874250	2674901
412	1878085	2669337
413	1882495	2664595
414	1886403	2659146
415	1890319	2653717
416	1894740	2649001
417	1899685	2645016
418	1904081	2640266
419	1909543	2636988
420	1913351	2631426
421	1917020	2625682
422	1922299	2622143
423	1926178	2616695
424	1931648	2613406
425	1938706	2612247
426	1941984	2605988
427	1946213	2601014
428	1952339	2598567
429	1956572	2593595
430	1962030	2590244
431	1966376	2585421
432	1970846	2580762
433	1974989	2575677
434	1978872	2570259
435	1984971	2567715
436	1989374	2562969
437	1993601	2558000
438	1998032	2553294
439	2004849	2551626
440	2008656	2546120
441	2013131	2541464
442	2016994	2536040
443	2021980	2532029
444	2026216	2527078
445	2033191	2525533
446	2037562	2520742
447	2041392	2515286
448	2045806	2510555
449	2050277	2505894
450	2054703	2501179
451	2058504	2495708
452	2062340	2490287
453	2066744	2485556
454	2071108	2480778
455	2074961	2475392
456	2079258	2470541
457	2083683	2465843
458	2087474	2460400
459	2091117	2454790
460	2096435	2451146
461	2100660	2446223
462	2105034	2441475
463	2110783	2438318
464	2115670	2434158
465	2119507	2428791
466	2123883	2424046
467	2127660	2418622
468	2131791	2413606
469	2135616	2408248
470	2141523	2405235
471	2145742	2400322
472	2151361	2396971
473	2155234	2391673
474	2158876	2386126
475	2162793	2380890
476	2166675	2375621
477	2171060	2370907
478	2174864	2365562
479	2181073	2362829
480	2185990	2358687
481	2191417	2355091
482	2195827	2350399
483	2201363	2346908
484	2205224	2341630
485	2209048	2336318
486	2212803	2330940
487	2216964	2325995
488	2221122	2321049
489	2227856	2318789
490	2231709	2313523
491	2236962	2309709
492	2240791	2304424
493	2245188	2299727
494	2248888	2294320
495	2252147	2288472
496	2256357	2283597
497	2260767	2278926
498	2265181	2274260
499	2269040	2269040
500	2273291	2264216
501	2279309	2261147
502	2283172	2255937
503	2288763	2252434
504	2295104	2249656
505	2298917	2244397
506	2302990	2239397
507	2307180	2234513
508	2314198	2232360
509	2318359	2227443
510	2322248	2222268
511	2328883	2219716
512	2333234	2214981
513	2337089	2209777
514	2340839	2204480
515	2345261	2199819
516	2349700	2195174
517	2354107	2190501
518	2360934	2188072
519	2366388	2184358
520	2372596	2181331
521	2376939	2176584
522	2381124	2171695
523	2385503	2166984
524	2389840	2162236
525	2395982	2159117
526	2402247	2156096
527	2406070	2150881
528	2410480	2146193
529	2414878	2141495
530	2418781	2136362
531	2424347	2132696
532	2428813	2128059
533	2434412	2124412
534	2438683	2119603
535	2443598	2115353
536	2449699	2112124
537	2454135	2107454
538	2458214	2102480
539	2463537	2098568
540	2467730	2093693
541	2471885	2088788
542	2477765	2085338
543	2483515	2081770
544	2487290	2076544
545	2491003	2071273
546	2494788	2066067
547	2500174	2062187
548	2504966	2057814
549	2510631	2054153
550	2516788	2050885
551	2520586	2045693
552	2524946	2040960
553	2528711	2035750
554	2534066	2031819
555	2538454	2027111
556	2542689	2022282
557	2546902	2017438
558	2552861	2013975
559	2556806	2008919
560	2561723	2004628
561	2565593	1999519
562	2570475	1995200
563	2575949	1991337
564	2580859	1987033
565	2585069	1982191
566	2590730	1978459
567	2596317	1974663
568	2600114	1969507
569	2603950	1964383
570	2607766	1959250
571	2613311	1955414
572	2619247	1951864
573	2625317	1948406
574	2628985	1943163
575	2633363	1938448
576	2639382	1934937
577	2643311	1929891
578	2649151	1926239
579	2652994	1921133
580	2656817	1916018
581	2660986	1911155
582	2665413	1906478
583	2669651	1901669
584	2674114	1897021
585	2677364	1891516
586	2681168	1886409
587	2687996	1883425
588	2692385	1878727
589	2697770	1874721
590	2703297	1870810
591	2707751	1866152
592	2711596	1861078
593	2715871	1856302
594	2719628	1851175
595	2724110	1846544
596	2728538	1841877
597	2732380	1836817
598	2735904	1831548
599	2740268	1826845
600	2744508	1822061
601	2750682	1818557
602	2755103	1813890
603	2759216	1809022
604	2762968	1803921
605	2766732	1798832
606	2771074	1794122
607	2776464	1790088
608	2781812	1786024
609	2786189	1781334
610	2789942	1776248
611	2794001	1771360
612	2798380	1766677
613	2802202	1761645
614	2806063	1756641
615	2809978	1751674
616	2815454	1747680
617	2821757	1744193
618	2825037	1738835
619	2828805	1733783
620	2832349	1728599
621	2836471	1723772
622	2841327	1719390
623	2845657	1714690
624	2851111	1710666
625	2855388	1705935
626	2859525	1701121
627	2863300	1696095
628	2867461	1691300
629	2871243	1686285
630	2876066	1681883
631	2880363	1677173
632	2884507	1672376
633	2890459	1668624
634	2895905	1664575
635	2900141	1659829
636	2904351	1655069
637	2908750	1650419
638	2914332	1646438
639	2918188	1641481
640	2921999	1636502
641	2925851	1631549
642	2931411	1627548
643	2935713	1622848
644	2940696	1618522
645	2944803	1613715
646	2948620	1608752
647	2953035	1604117
648	2957333	1599420
649	2961125	1594452
650	2964942	1589500
651	2969816	1585116
652	2973991	1580359
653	2977842	1575433
654	2983556	1571491
655	2989752	1567797
656	2993927	1563039
657	2999476	1558998
658	3003328	1554074
659	3007188	1549157
660	3011131	1544286
661	3015077	1539420
662	3021107	1535615
663	3025259	1530854
664	3029121	1525948
665	3033583	1521346
666	3036878	1516162
667	3041740	1511763
668	3046126	1507126
669	3050483	1502476
670	3056635	1498707
671	3062628	1494854
672	3066249	1489842
673	3070462	1485120
674	3074316	1480226
675	3078691	1475585
676	3082552	1470701
677	3086439	1465831
678	3090901	1461236
679	3095335	1456628
680	3099710	1451993
681	3105127	1447845
682	3108750	1442860
683	3112627	1437997
684	3118065	1433854
685	3124049	1429958
686	3127954	1425108
687	3132373	1420494
688	3135997	1415523
689	3140481	1410940
690	3144397	1406105
691	3148764	1401473
692	3152559	1396588
693	3158732	1392755
694	3163146	1388143
695	3167303	1383419
696	3171766	1378831
697	3177875	1374954
698	3181720	1370096
699	3187183	1365935
700	3192704	1361795
701	3198759	1357877
702	3203714	1353489
703	3207572	1348638
704	3212015	1344034
705	3215844	1339176
706	3219780	1334364
707	3225223	1330176
708	3229672	1325577
709	3234105	1320972
710	3238548	1316372
711	3242412	1311537
712	3246868	1306944
713	3250762	1302125
714	3255185	1297521
715	3259651	1292934
716	3265159	1288758
717	3270015	1284323
718	3273909	1279511
719	3278268	1274882
720	3282236	1270102
721	3286535	1265452
722	3292200	1261327
723	3297069	1256894
724	3300698	1251989
725	3304575	1247181
726	3308450	1242375
727	3312646	1237691
728	3317086	1233100
729	3320962	1228301
730	3327069	1224325
731	3331541	1219744
732	3335357	1214925
733	3341214	1210848
734	3344457	1205824
735	3350135	1201679
736	3354582	1197089
737	3359013	1192495
738	3362947	1187725
739	3367300	1183105
740	3371157	1178312
741	3375969	1173854
742	3380200	1169194
743	3384041	1164401
744	3388255	1159738
745	3392130	1154961
746	3397665	1150748
747	3402628	1146339
748	3407024	1141739
749	3412544	1137514
750	3418042	1133279
751	3421925	1128507
752	3426363	1123920
753	3430564	1119255
754	3435435	1114810
755	3439892	1110229
756	3444368	1105655
757	3448225	1100884
758	3452656	1096297
759	3456483	1091521
760	3460336	1086754
761	3464592	1082116
762	3468994	1077525
763	3472278	1072588
764	3478860	1068669
765	3485476	1064754
766	3489283	1059978
767	3493691	1055385
768	3498107	1050796
769	3503005	1046352
770	3509431	1042360
771	3516182	1038458
772	3522679	1034473
773	3527089	1029873
774	3531501	1025274
775	3535705	1020616
776	3540668	1016176
777	3545657	1011742
778	3549471	1006974
779	3553269	1002204
780	3557721	997619
781	3561603	992876
782	3565990	988275
783	3570118	983604
784	3574556	979018
785	3578934	974417
786	3582805	969679
787	3587741	965229
788	3592182	960646
789	3596363	955995
790	3602981	951988
791	3606859	947256
792	3611095	942618
793	3615540	938037
794	3619451	933317
795	3625467	929139
796	3631440	924946
797	3637188	920691
798	3641025	915952
799	3645459	911364
800	3649300	906630
801	3653095	901886
802	3658592	897562
803	3662441	892833
804	3666887	888252
805	3670511	883472
806	3674305	878737
807	3679709	874386
808	3683650	869687
809	3688111	865112
810	3693788	860821
811	3698673	856343
812	3702458	851611
813	3706670	846978
814	3712307	842671
815	3716796	838101
816	3721683	833620
817	3725522	828905
818	3729650	824257
819	3733543	819558
820	3737961	814975
821	3743991	810742
822	3748932	806271
823	3752734	801555
824	3756581	796850
825	3760356	792133
826	3764296	787452
827	3768550	782839
828	3774197	778513
829	3778051	773817
830	3781916	769126
831	3786139	764508
832	3790022	759824
833	3793832	755127
834	3797689	750441
835	3801560	745760
836	3805206	741037
837	3809578	736457
838	3813466	731785
839	3817360	727116
840	3822300	722646
841	3828339	718381
842	3833757	713997
843	3838062	709404
844	3842233	704788
845	3846679	700222
846	3852058	695826
847	3855317	691047
848	3859161	686376
849	3862974	681701
850	3868673	677358
851	3873093	672790
852	3877536	668227
853	3882997	663837
854	3887178	659229
855	3890494	654475
856	3894912	649909
857	3899286	645336
858	3903713	640772
859	3909801	636479
860	3914239	631915
861	3918078	627256
862	3924201	622961
863	3928454	618367
864	3932765	613784
865	3936624	609131
866	3940903	604544
867	3947071	600245
868	3950927	595594
869	3954852	590954
870	3959278	586391
871	3963177	581750
872	3967027	577104
873	3970906	572464
874	3975314	567902
875	3979181	563263
876	3983526	558692
877	3988005	554142
878	3992469	549589
879	3996340	544955
880	3999594	540240
881	4003532	535620
882	4007432	530996
883	4012842	526572
884	4017167	522004
885	4020974	517371
886	4024737	512734
887	4030601	508364
888	4034240	503712
889	4038432	499132
890	4042258	494507
891	4046163	489894
892	4050525	485337
893	4054336	480715
894	4058567	476144
895	4062471	471536
896	4066775	466976
897	4071193	462429
898	4075060	457821
899	4079451	453272
900	4085169	448869
901	4089564	444320
902	4093985	439774
903	4098167	435203
904	4103660	430771
905	4108024	426218
906	4114130	421845
907	4119594	417403
908	4123986	412852
909	4130621	408522
910	4134534	403922
911	4138786	399356
912	4145491	395024
913	4150001	390481
914	4154479	385935
915	4158325	381331
916	4163955	376890
917	4168173	372320
918	4172070	367723
919	4175652	363100
920	4180521	358589
921	4186149	354142
922	4190024	349546
923	4194432	344996
924	4198227	340396
925	4202667	335850
926	4206460	331253
927	4211345	326742
928	4215144	322147
929	4220337	317659
930	4225982	313203
931	4230387	308654
932	4234793	304106
933	4238709	299523
934	4242924	294962
935	4246775	290377
936	4250664	285797
937	4256030	281315
938	4262317	276891
939	4266582	272335
940	4272488	267881
941	4277017	263340
942	4281175	258777
943	4286775	254300
944	4290642	249719
945	4296274	245241
946	4300639	240690
947	4306711	236233
948	4311767	231717
949	4315978	227156
950	4320087	222591
951	4324379	218035
952	4328229	213459
953	4331837	208872
954	4337339	204377
955	4341256	199806
956	4345078	195233
957	4348688	190652
958	4354304	186159
959	4358201	181591
960	4362374	177037
961	4366279	172472
962	4370761	167931
963	4375199	163389
964	4379670	158848
965	4383918	154299
966	4388183	149751
967	4391789	145183
968	4395701	140626
969	4399883	136078
970	4403831	131525
971	4407762	126972
972	4412195	122435
973	4416028	117881
974	4422207	113389
975	4428533	108898
976	4432428	104345
977	4436399	99796
978	4440238	95245
979	4443876	90691
980	4448078	86150
981	4452023	81605
982	4456961	77078
983	4462563	72562
984	4467466	68032
985	4472828	63508
986	4478934	58993
987	4484550	54468
988	4490876	49949
989	4495321	45407
990	4501503	40881
991	4505979	36338
992	4511745	31804
993	4516708	27263
994	4520916	22718
995	4525102	18173
996	4528838	13627
997	4533341	9084
998	4537801	4542
999	4542021	0
